datapoint,n_batches,corresponding_epoch,n_batches_rounded
1,1,0,1
2,1.42,0,1
3,2.0164,0,2
4,2.863288,0,3
5,4.065869,0,4
6,5.773534,0,6
7,8.198418,0,8
8,11.64175,0,12
9,16.53129,0,17
10,23.47443,0,23
11,33.33369,0,33
12,47.33385,0,47
13,67.21406,0,67
14,95.44397,0,95
15,135.5304,0,136
16,192.4532,0,192
17,273.2836,0,273
18,388.0627,0,388
19,551.049,0,551
20,782.4895,0,782
21,1111.135,0,1111
22,1577.812,0,1578
23,2240.493,0,2240
24,3181.5,0,3182
25,4517.73,0,4518
26,6415.177,1,6415
27,9109.551,1,9110
28,12935.56,2,12936
29,18368.5,3,18369
30,26083.27,5,26083
31,37038.24,7,37038
32,52594.3,10,52594
33,74683.91,14,74684
34,106051.1,21,106051
35,150592.6,30,150593
36,213841.5,42,213842
37,303655,60,303655
