,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
0,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch15.pth.tar,15,51.976,78.106,2.039,0,0
1,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch20.pth.tar,20,52.23,78.066,2.0321,0,0
2,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch25.pth.tar,25,51.87,77.59,2.0645,0,0
3,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch30.pth.tar,30,54.344,79.47,1.9479,0,0
4,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch35.pth.tar,35,70.13,89.854,1.1953,0,0
5,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch40.pth.tar,40,70.24,89.82,1.1922,0,0
6,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch45.pth.tar,45,69.834,89.752,1.2094,0,0
7,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch50.pth.tar,50,70.46,89.828,1.1974,0,0
8,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch55.pth.tar,55,69.97,89.998,1.2013,0,0
9,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_10_epoch_to_gauss_0_for_50_epoch60.pth.tar,60,69.722,89.598,1.2172e+00,0,0
