,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
0,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch5.pth.tar,5,0.92,3.078,10.008,0,0
1,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch10.pth.tar,10,1.816,5.072,8.3806,0,0
2,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch15.pth.tar,15,0.97,3.432,11.642,0,0
3,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch20.pth.tar,20,1.068,3.188,11.564,0,0
4,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch25.pth.tar,25,1.518,4.68,9.8065,0,0
5,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch30.pth.tar,30,1.366,3.914,8.9981,0,0
6,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch35.pth.tar,35,67.784,88.17,1.3046,0,0
7,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch40.pth.tar,40,68.112,88.574,1.288,0,0
8,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch45.pth.tar,45,68.344,88.788,1.2754,0,0
9,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch50.pth.tar,50,68.334,88.904,1.2728,0,0
10,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch55.pth.tar,55,68.888,89.064,1.2469,0,0
11,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2/outmodel/checkpoint_supervised_resnet50_from_gauss_4_for_30_epoch_to_gauss_0_for_30_TRAIN2_epoch60.pth.tar,60,69.486,89.726,1.2193e+00,0,0
