,model_pth,epoch,top1acc,top5acc,val_images_blurred,val_blur_sigma
0,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch5.pth.tar,5,45.926,72.702,0,0
1,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch10.pth.tar,10,51.044,76.848,0,0
2,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch15.pth.tar,15,52.452,78.314,0,0
3,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch20.pth.tar,20,62.224,85.062,0,0
4,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch25.pth.tar,25,62.21,85.36,0,0
5,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch30.pth.tar,30,62.722,85.45,0,0
6,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch35.pth.tar,35,70.846,90.026,0,0
7,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch40.pth.tar,40,69.962,89.718,0,0
8,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch45.pth.tar,45,69.43,89.624,0,0
9,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch50.pth.tar,50,74.154,91.984,0,0
10,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch55.pth.tar,55,73.762,91.86,0,0
11,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_60_epoch_lr_15/outmodel/checkpoint_supervised_resnet50_gauss_0_for_60_epoch_lr_15_epoch60.pth.tar,60,73.374,91.712,0,0
