Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 264, 352, 584, 0.42857142857142855, 
airplane, 8, 26, 41, 0.23529411764705882, 
bicycle, 26, 17, 32, 0.6046511627906976, 
boat, 3, 29, 43, 0.09375, 
car, 12, 28, 35, 0.3, 
chair, 25, 14, 36, 0.6410256410256411, 
dog, 7, 19, 49, 0.2692307692307692, 
keyboard, 18, 24, 33, 0.42857142857142855, 
oven, 28, 16, 31, 0.6363636363636364, 
bear, 2, 26, 47, 0.07142857142857142, 
bird, 9, 25, 41, 0.2647058823529412, 
bottle, 33, 15, 27, 0.6875, 
cat, 18, 21, 36, 0.46153846153846156, 
clock, 48, 11, 16, 0.8135593220338984, 
elephant, 5, 27, 43, 0.15625, 
knife, 2, 25, 48, 0.07407407407407407, 
truck, 20, 29, 26, 0.40816326530612246, 
