Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 194,584,422,0.2493573264781491,
airplane, 5, 39, 31, 0.11363636363636363, 
bicycle, 12, 32, 31, 0.2727272727272727, 
boat, 3, 39, 33, 0.07142857142857142, 
car, 28, 32, 15, 0.4666666666666667, 
chair, 2, 40, 33, 0.047619047619047616, 
dog, 7, 42, 26, 0.14285714285714285, 
keyboard, 11, 40, 24, 0.21568627450980393, 
oven, 10, 33, 32, 0.23255813953488372, 
bear, 2, 37, 36, 0.05128205128205128, 
bird, 0, 43, 32, 0.0, 
bottle, 30, 33, 12, 0.47619047619047616, 
cat, 10, 41, 24, 0.19607843137254902, 
clock, 37, 21, 17, 0.6379310344827587, 
elephant, 4, 39, 32, 0.09302325581395349, 
knife, 0, 44, 31, 0.0, 
truck, 33, 29, 13, 0.532258064516129, 
