Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 351,182,667,0.6585365853658537,
airplane, 10, 12, 53, 0.45454545454545453, 
bicycle, 32, 8, 35, 0.8, 
boat, 7, 7, 61, 0.5, 
car, 21, 10, 44, 0.6774193548387096, 
chair, 22, 10, 43, 0.6875, 
dog, 20, 6, 49, 0.7692307692307693, 
keyboard, 22, 15, 38, 0.5945945945945946, 
oven, 15, 13, 47, 0.5357142857142857, 
bear, 10, 17, 48, 0.37037037037037035, 
bird, 14, 12, 49, 0.5384615384615384, 
bottle, 30, 15, 30, 0.6666666666666666, 
cat, 21, 15, 39, 0.5833333333333334, 
clock, 58, 5, 12, 0.9206349206349206, 
elephant, 14, 10, 51, 0.5833333333333334, 
knife, 15, 14, 46, 0.5172413793103449, 
truck, 40, 13, 22, 0.7547169811320755, 
