Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 351,158,691,0.6895874263261297,
airplane, 9, 7, 59, 0.5625, 
bicycle, 39, 6, 30, 0.8666666666666667, 
boat, 6, 9, 60, 0.4, 
car, 14, 14, 47, 0.5, 
chair, 29, 8, 38, 0.7837837837837838, 
dog, 25, 7, 43, 0.78125, 
keyboard, 8, 13, 54, 0.38095238095238093, 
oven, 28, 8, 39, 0.7777777777777778, 
bear, 6, 14, 55, 0.3, 
bird, 18, 12, 45, 0.6, 
bottle, 29, 10, 36, 0.7435897435897436, 
cat, 23, 11, 41, 0.6764705882352942, 
clock, 55, 3, 17, 0.9482758620689655, 
elephant, 10, 10, 55, 0.5, 
knife, 15, 13, 47, 0.5357142857142857, 
truck, 37, 13, 25, 0.74, 
