Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 243,354,603,0.40703517587939697,
airplane, 3, 19, 53, 0.13636363636363635, 
bicycle, 29, 13, 33, 0.6904761904761905, 
boat, 5, 27, 43, 0.15625, 
car, 27, 18, 30, 0.6, 
chair, 11, 17, 47, 0.39285714285714285, 
dog, 12, 27, 36, 0.3076923076923077, 
keyboard, 5, 33, 37, 0.13157894736842105, 
oven, 17, 18, 40, 0.4857142857142857, 
bear, 3, 32, 40, 0.08571428571428572, 
bird, 15, 19, 41, 0.4411764705882353, 
bottle, 18, 23, 34, 0.43902439024390244, 
cat, 23, 21, 31, 0.5227272727272727, 
clock, 41, 12, 22, 0.7735849056603774, 
elephant, 10, 22, 43, 0.3125, 
knife, 7, 23, 45, 0.23333333333333334, 
truck, 17, 30, 28, 0.3617021276595745, 
