Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 272,328,600,0.4533333333333333,
airplane, 4, 26, 45, 0.13333333333333333, 
bicycle, 19, 17, 39, 0.5277777777777778, 
boat, 1, 26, 48, 0.037037037037037035, 
car, 21, 23, 31, 0.4772727272727273, 
chair, 12, 20, 43, 0.375, 
dog, 15, 22, 38, 0.40540540540540543, 
keyboard, 6, 34, 35, 0.15, 
oven, 25, 20, 30, 0.5555555555555556, 
bear, 7, 15, 53, 0.3181818181818182, 
bird, 13, 19, 43, 0.40625, 
bottle, 42, 13, 20, 0.7636363636363637, 
cat, 10, 23, 42, 0.30303030303030304, 
clock, 51, 7, 17, 0.8793103448275862, 
elephant, 13, 15, 47, 0.4642857142857143, 
knife, 6, 24, 45, 0.2, 
truck, 27, 24, 24, 0.5294117647058824, 
