Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 117, 130, 953, 0.47368421052631576, 
airplane, 0, 7, 68, 0.0, 
bicycle, 0, 10, 65, 0.0, 
boat, 0, 8, 67, 0.0, 
car, 7, 8, 60, 0.4666666666666667, 
chair, 7, 8, 60, 0.4666666666666667, 
dog, 0, 12, 63, 0.0, 
keyboard, 3, 7, 65, 0.3, 
oven, 1, 8, 66, 0.1111111111111111, 
bear, 0, 7, 68, 0.0, 
bird, 0, 11, 64, 0.0, 
bottle, 22, 8, 45, 0.7333333333333333, 
cat, 0, 6, 69, 0.0, 
clock, 59, 4, 12, 0.9365079365079365, 
elephant, 15, 7, 53, 0.6818181818181818, 
knife, 3, 11, 61, 0.21428571428571427, 
truck, 0, 8, 67, 0.0, 
