Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias, Total, 237, 467, 496, 0.3366477272727273, 
airplane, 4, 34, 37, 0.10526315789473684, 
bicycle, 13, 24, 38, 0.35135135135135137, 
boat, 1, 36, 38, 0.02702702702702703, 
car, 31, 21, 23, 0.5961538461538461, 
chair, 13, 26, 36, 0.3333333333333333, 
dog, 7, 33, 35, 0.175, 
keyboard, 7, 45, 23, 0.1346153846153846, 
oven, 14, 27, 34, 0.34146341463414637, 
bear, 5, 35, 35, 0.125, 
bird, 8, 32, 35, 0.2, 
bottle, 39, 19, 17, 0.6724137931034483, 
cat, 10, 31, 34, 0.24390243902439024, 
clock, 52, 7, 16, 0.8813559322033898, 
elephant, 5, 34, 36, 0.1282051282051282, 
knife, 2, 32, 41, 0.058823529411764705, 
truck, 26, 31, 18, 0.45614035087719296, 
