Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 227,428,545,0.3465648854961832,
airplane, 5, 29, 41, 0.14705882352941177, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 1, 30, 44, 0.03225806451612903, 
car, 30, 22, 23, 0.5769230769230769, 
chair, 5, 26, 44, 0.16129032258064516, 
dog, 8, 26, 41, 0.23529411764705882, 
keyboard, 10, 35, 30, 0.2222222222222222, 
oven, 19, 20, 36, 0.48717948717948717, 
bear, 7, 29, 39, 0.19444444444444445, 
bird, 6, 32, 37, 0.15789473684210525, 
bottle, 40, 24, 11, 0.625, 
cat, 11, 31, 33, 0.2619047619047619, 
clock, 47, 7, 21, 0.8703703703703703, 
elephant, 2, 29, 44, 0.06451612903225806, 
knife, 1, 35, 39, 0.027777777777777776, 
truck, 23, 26, 26, 0.46938775510204084, 
