Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 163,642,395,0.20248447204968945,
airplane, 2, 41, 32, 0.046511627906976744, 
bicycle, 6, 27, 42, 0.18181818181818182, 
boat, 4, 43, 28, 0.0851063829787234, 
car, 20, 38, 17, 0.3448275862068966, 
chair, 6, 42, 27, 0.125, 
dog, 7, 42, 26, 0.14285714285714285, 
keyboard, 6, 44, 25, 0.12, 
oven, 9, 36, 30, 0.2, 
bear, 7, 43, 25, 0.14, 
bird, 3, 47, 25, 0.06, 
bottle, 23, 38, 14, 0.3770491803278688, 
cat, 6, 47, 22, 0.11320754716981132, 
clock, 38, 26, 11, 0.59375, 
elephant, 7, 41, 27, 0.14583333333333334, 
knife, 1, 47, 27, 0.020833333333333332, 
truck, 18, 40, 17, 0.3103448275862069, 
