Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 172,734,294,0.18984547461368653,
airplane, 3, 51, 21, 0.05555555555555555, 
bicycle, 13, 36, 26, 0.2653061224489796, 
boat, 4, 53, 18, 0.07017543859649122, 
car, 18, 42, 15, 0.3, 
chair, 6, 46, 23, 0.11538461538461539, 
dog, 6, 47, 22, 0.11320754716981132, 
keyboard, 7, 54, 14, 0.11475409836065574, 
oven, 7, 41, 27, 0.14583333333333334, 
bear, 5, 55, 15, 0.08333333333333333, 
bird, 2, 52, 21, 0.037037037037037035, 
bottle, 24, 37, 14, 0.39344262295081966, 
cat, 11, 51, 13, 0.1774193548387097, 
clock, 36, 21, 18, 0.631578947368421, 
elephant, 2, 56, 17, 0.034482758620689655, 
knife, 3, 54, 18, 0.05263157894736842, 
truck, 25, 38, 12, 0.3968253968253968, 
