Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 189,602,409,0.23893805309734514,
airplane, 3, 39, 33, 0.07142857142857142, 
bicycle, 11, 29, 35, 0.275, 
boat, 2, 41, 32, 0.046511627906976744, 
car, 24, 26, 25, 0.48, 
chair, 2, 44, 29, 0.043478260869565216, 
dog, 7, 41, 27, 0.14583333333333334, 
keyboard, 7, 46, 22, 0.1320754716981132, 
oven, 8, 29, 38, 0.21621621621621623, 
bear, 1, 54, 20, 0.01818181818181818, 
bird, 2, 44, 29, 0.043478260869565216, 
bottle, 31, 31, 13, 0.5, 
cat, 10, 45, 20, 0.18181818181818182, 
clock, 44, 12, 19, 0.7857142857142857, 
elephant, 4, 44, 27, 0.08333333333333333, 
knife, 2, 46, 27, 0.041666666666666664, 
truck, 31, 31, 13, 0.5, 
