Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 82,73,1045,0.5290322580645161,
airplane, 0, 4, 71, 0.0, 
bicycle, 0, 5, 70, 0.0, 
boat, 0, 5, 70, 0.0, 
car, 0, 5, 70, 0.0, 
chair, 1, 5, 69, 0.16666666666666666, 
dog, 0, 5, 70, 0.0, 
keyboard, 0, 5, 70, 0.0, 
oven, 1, 5, 69, 0.16666666666666666, 
bear, 0, 5, 70, 0.0, 
bird, 1, 5, 69, 0.16666666666666666, 
bottle, 11, 5, 59, 0.6875, 
cat, 0, 5, 70, 0.0, 
clock, 68, 0, 7, 1.0, 
elephant, 0, 5, 70, 0.0, 
knife, 0, 4, 71, 0.0, 
truck, 0, 5, 70, 0.0, 
