Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 207,538,455,0.2778523489932886,
airplane, 2, 33, 40, 0.05714285714285714, 
bicycle, 16, 25, 34, 0.3902439024390244, 
boat, 3, 39, 33, 0.07142857142857142, 
car, 22, 33, 20, 0.4, 
chair, 6, 34, 35, 0.15, 
dog, 6, 31, 38, 0.16216216216216217, 
keyboard, 12, 41, 22, 0.22641509433962265, 
oven, 15, 30, 30, 0.3333333333333333, 
bear, 2, 42, 31, 0.045454545454545456, 
bird, 6, 35, 34, 0.14634146341463414, 
bottle, 33, 29, 13, 0.532258064516129, 
cat, 9, 37, 29, 0.1956521739130435, 
clock, 47, 15, 13, 0.7580645161290323, 
elephant, 5, 38, 32, 0.11627906976744186, 
knife, 5, 43, 27, 0.10416666666666667, 
truck, 18, 33, 24, 0.35294117647058826, 
