Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 214, 534, 452, 0.28609625668449196, 
airplane, 3, 32, 40, 0.08571428571428572, 
bicycle, 21, 24, 30, 0.4666666666666667, 
boat, 2, 39, 34, 0.04878048780487805, 
car, 22, 27, 26, 0.4489795918367347, 
chair, 9, 31, 35, 0.225, 
dog, 6, 38, 31, 0.13636363636363635, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 13, 27, 35, 0.325, 
bear, 6, 41, 28, 0.1276595744680851, 
bird, 2, 39, 34, 0.04878048780487805, 
bottle, 36, 25, 14, 0.5901639344262295, 
cat, 13, 35, 27, 0.2708333333333333, 
clock, 41, 18, 16, 0.6949152542372882, 
elephant, 6, 41, 28, 0.1276595744680851, 
knife, 5, 39, 31, 0.11363636363636363, 
truck, 20, 35, 20, 0.36363636363636365, 
