Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 199,514,487,0.2791023842917251,
airplane, 5, 37, 33, 0.11904761904761904, 
bicycle, 17, 22, 36, 0.4358974358974359, 
boat, 4, 30, 41, 0.11764705882352941, 
car, 18, 30, 27, 0.375, 
chair, 9, 31, 35, 0.225, 
dog, 5, 36, 34, 0.12195121951219512, 
keyboard, 7, 40, 28, 0.14893617021276595, 
oven, 18, 25, 32, 0.4186046511627907, 
bear, 3, 41, 31, 0.06818181818181818, 
bird, 4, 43, 28, 0.0851063829787234, 
bottle, 34, 26, 15, 0.5666666666666667, 
cat, 11, 32, 32, 0.2558139534883721, 
clock, 39, 17, 19, 0.6964285714285714, 
elephant, 5, 33, 37, 0.13157894736842105, 
knife, 5, 36, 34, 0.12195121951219512, 
truck, 15, 35, 25, 0.3, 
