Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 181,667,352,0.2134433962264151,
airplane, 3, 45, 27, 0.0625, 
bicycle, 11, 33, 31, 0.25, 
boat, 4, 49, 22, 0.07547169811320754, 
car, 23, 34, 18, 0.40350877192982454, 
chair, 9, 45, 21, 0.16666666666666666, 
dog, 10, 46, 19, 0.17857142857142858, 
keyboard, 4, 50, 21, 0.07407407407407407, 
oven, 7, 43, 25, 0.14, 
bear, 5, 45, 25, 0.1, 
bird, 0, 47, 28, 0.0, 
bottle, 20, 34, 21, 0.37037037037037035, 
cat, 10, 47, 18, 0.17543859649122806, 
clock, 43, 17, 15, 0.7166666666666667, 
elephant, 3, 48, 24, 0.058823529411764705, 
knife, 1, 49, 25, 0.02, 
truck, 28, 35, 12, 0.4444444444444444, 
