Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 177,614,409,0.22376738305941846,
airplane, 2, 43, 30, 0.044444444444444446, 
bicycle, 17, 32, 26, 0.3469387755102041, 
boat, 4, 38, 33, 0.09523809523809523, 
car, 19, 29, 27, 0.3958333333333333, 
chair, 11, 36, 28, 0.23404255319148937, 
dog, 8, 40, 27, 0.16666666666666666, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 8, 33, 34, 0.1951219512195122, 
bear, 3, 50, 22, 0.05660377358490566, 
bird, 0, 48, 27, 0.0, 
bottle, 20, 34, 21, 0.37037037037037035, 
cat, 12, 42, 21, 0.2222222222222222, 
clock, 31, 22, 22, 0.5849056603773585, 
elephant, 1, 46, 28, 0.02127659574468085, 
knife, 5, 44, 26, 0.10204081632653061, 
truck, 27, 34, 14, 0.4426229508196721, 
