Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 167,677,356,0.19786729857819904,
airplane, 4, 46, 25, 0.08, 
bicycle, 6, 39, 30, 0.13333333333333333, 
boat, 3, 44, 28, 0.06382978723404255, 
car, 18, 39, 18, 0.3157894736842105, 
chair, 7, 44, 24, 0.13725490196078433, 
dog, 7, 44, 24, 0.13725490196078433, 
keyboard, 7, 50, 18, 0.12280701754385964, 
oven, 8, 35, 32, 0.18604651162790697, 
bear, 6, 41, 28, 0.1276595744680851, 
bird, 0, 50, 25, 0.0, 
bottle, 30, 34, 11, 0.46875, 
cat, 7, 48, 20, 0.12727272727272726, 
clock, 41, 18, 16, 0.6949152542372882, 
elephant, 2, 48, 25, 0.04, 
knife, 2, 54, 19, 0.03571428571428571, 
truck, 19, 43, 13, 0.3064516129032258, 
