Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 235,434,531,0.351270553064275,
airplane, 4, 28, 43, 0.125, 
bicycle, 13, 24, 38, 0.35135135135135137, 
boat, 4, 34, 37, 0.10526315789473684, 
car, 23, 24, 28, 0.48936170212765956, 
chair, 9, 27, 39, 0.25, 
dog, 8, 26, 41, 0.23529411764705882, 
keyboard, 10, 36, 29, 0.21739130434782608, 
oven, 19, 24, 32, 0.4418604651162791, 
bear, 4, 36, 35, 0.1, 
bird, 7, 29, 39, 0.19444444444444445, 
bottle, 43, 20, 12, 0.6825396825396826, 
cat, 14, 25, 36, 0.358974358974359, 
clock, 48, 12, 15, 0.8, 
elephant, 2, 26, 47, 0.07142857142857142, 
knife, 3, 35, 37, 0.07894736842105263, 
truck, 24, 28, 23, 0.46153846153846156, 
