subj,session,trial,rt,object_response,category,condition,imagename,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,1,NaN,cat,airplane,0,airplane1-bicycle2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,2,NaN,oven,airplane,0,airplane1-chair2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,3,NaN,knife,airplane,0,airplane1-clock1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,4,NaN,cat,airplane,0,airplane1-elephant1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,5,NaN,knife,airplane,0,airplane10-airplane1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,6,NaN,elephant,airplane,0,airplane10-bear3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,7,NaN,bottle,airplane,0,airplane10-boat3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,8,NaN,bottle,airplane,0,airplane10-car3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,9,NaN,cat,airplane,0,airplane10-cat2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,10,NaN,bottle,airplane,0,airplane10-dog3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,11,NaN,cat,airplane,0,airplane10-elephant1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,12,NaN,bottle,airplane,0,airplane10-knife3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,13,NaN,airplane,airplane,0,airplane10-oven2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,14,NaN,bottle,airplane,0,airplane10-truck1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,15,NaN,dog,airplane,0,airplane2-bear1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,16,NaN,bottle,airplane,0,airplane2-bicycle1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,17,NaN,cat,airplane,0,airplane2-bird3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,18,NaN,oven,airplane,0,airplane2-bottle1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,19,NaN,dog,airplane,0,airplane2-cat1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,20,NaN,dog,airplane,0,airplane2-dog1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,21,NaN,bottle,airplane,0,airplane3-airplane2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,22,NaN,bottle,airplane,0,airplane3-car1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,23,NaN,cat,airplane,0,airplane3-cat1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,24,NaN,bottle,airplane,0,airplane3-chair3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,25,NaN,bottle,airplane,0,airplane3-clock1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,26,NaN,elephant,airplane,0,airplane3-dog1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,27,NaN,elephant,airplane,0,airplane3-elephant1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,28,NaN,airplane,airplane,0,airplane3-keyboard2.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,29,NaN,bird,airplane,0,airplane3-oven1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,30,NaN,knife,airplane,0,airplane4-airplane1.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,31,NaN,elephant,airplane,0,airplane4-bear3.png,
gauss_4_sup_RN50_gauss_0_for_60_epoch25,1,32,NaN,bird,airplane,0,airplane4-bicycle2.png,
