subj,session,trial,rt,object_response,category,condition,imagename,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,1,NaN,bicycle,airplane,0,airplane1-bicycle2.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,2,NaN,knife,airplane,0,airplane1-chair2.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,3,NaN,clock,airplane,0,airplane1-clock1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,4,NaN,elephant,airplane,0,airplane1-elephant1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,5,NaN,airplane,airplane,0,airplane10-airplane1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,6,NaN,bear,airplane,0,airplane10-bear3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,7,NaN,truck,airplane,0,airplane10-boat3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,8,NaN,car,airplane,0,airplane10-car3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,9,NaN,cat,airplane,0,airplane10-cat2.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,10,NaN,dog,airplane,0,airplane10-dog3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,11,NaN,elephant,airplane,0,airplane10-elephant1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,12,NaN,knife,airplane,0,airplane10-knife3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,13,NaN,bottle,airplane,0,airplane10-oven2.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,14,NaN,bottle,airplane,0,airplane10-truck1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,15,NaN,bear,airplane,0,airplane2-bear1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,16,NaN,bicycle,airplane,0,airplane2-bicycle1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,17,NaN,bird,airplane,0,airplane2-bird3.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,18,NaN,bottle,airplane,0,airplane2-bottle1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,19,NaN,dog,airplane,0,airplane2-cat1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,20,NaN,cat,airplane,0,airplane2-dog1.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,21,NaN,airplane,airplane,0,airplane3-airplane2.png,
sup_RN50_gauss_0_for_90_epoch_epoch90,1,22,NaN,boat,airplane,0,airplane3-car1.png,
