subj,session,trial,rt,object_response,category,condition,imagename,
sup_RN50_gauss_1_for_60_epoch5,1,1,NaN,bicycle,airplane,0,airplane1-bicycle2.png,
sup_RN50_gauss_1_for_60_epoch5,1,2,NaN,boat,airplane,0,airplane1-chair2.png,
sup_RN50_gauss_1_for_60_epoch5,1,3,NaN,clock,airplane,0,airplane1-clock1.png,
sup_RN50_gauss_1_for_60_epoch5,1,4,NaN,elephant,airplane,0,airplane1-elephant1.png,
sup_RN50_gauss_1_for_60_epoch5,1,5,NaN,airplane,airplane,0,airplane10-airplane1.png,
sup_RN50_gauss_1_for_60_epoch5,1,6,NaN,bear,airplane,0,airplane10-bear3.png,
sup_RN50_gauss_1_for_60_epoch5,1,7,NaN,bottle,airplane,0,airplane10-boat3.png,
sup_RN50_gauss_1_for_60_epoch5,1,8,NaN,car,airplane,0,airplane10-car3.png,
sup_RN50_gauss_1_for_60_epoch5,1,9,NaN,cat,airplane,0,airplane10-cat2.png,
sup_RN50_gauss_1_for_60_epoch5,1,10,NaN,cat,airplane,0,airplane10-dog3.png,
sup_RN50_gauss_1_for_60_epoch5,1,11,NaN,elephant,airplane,0,airplane10-elephant1.png,
sup_RN50_gauss_1_for_60_epoch5,1,12,NaN,knife,airplane,0,airplane10-knife3.png,
sup_RN50_gauss_1_for_60_epoch5,1,13,NaN,knife,airplane,0,airplane10-oven2.png,
sup_RN50_gauss_1_for_60_epoch5,1,14,NaN,car,airplane,0,airplane10-truck1.png,
sup_RN50_gauss_1_for_60_epoch5,1,15,NaN,elephant,airplane,0,airplane2-bear1.png,
sup_RN50_gauss_1_for_60_epoch5,1,16,NaN,bicycle,airplane,0,airplane2-bicycle1.png,
sup_RN50_gauss_1_for_60_epoch5,1,17,NaN,knife,airplane,0,airplane2-bird3.png,
sup_RN50_gauss_1_for_60_epoch5,1,18,NaN,bottle,airplane,0,airplane2-bottle1.png,
sup_RN50_gauss_1_for_60_epoch5,1,19,NaN,cat,airplane,0,airplane2-cat1.png,
sup_RN50_gauss_1_for_60_epoch5,1,20,NaN,cat,airplane,0,airplane2-dog1.png,
sup_RN50_gauss_1_for_60_epoch5,1,21,NaN,airplane,airplane,0,airplane3-airplane2.png,
sup_RN50_gauss_1_for_60_epoch5,1,22,NaN,bottle,airplane,0,airplane3-car1.png,
sup_RN50_gauss_1_for_60_epoch5,1,23,NaN,cat,airplane,0,airplane3-cat1.png,
sup_RN50_gauss_1_for_60_epoch5,1,24,NaN,keyboard,airplane,0,airplane3-chair3.png,
sup_RN50_gauss_1_for_60_epoch5,1,25,NaN,clock,airplane,0,airplane3-clock1.png,
sup_RN50_gauss_1_for_60_epoch5,1,26,NaN,dog,airplane,0,airplane3-dog1.png,
sup_RN50_gauss_1_for_60_epoch5,1,27,NaN,elephant,airplane,0,airplane3-elephant1.png,
sup_RN50_gauss_1_for_60_epoch5,1,28,NaN,keyboard,airplane,0,airplane3-keyboard2.png,
sup_RN50_gauss_1_for_60_epoch5,1,29,NaN,airplane,airplane,0,airplane3-oven1.png,
sup_RN50_gauss_1_for_60_epoch5,1,30,NaN,knife,airplane,0,airplane4-airplane1.png,
sup_RN50_gauss_1_for_60_epoch5,1,31,NaN,elephant,airplane,0,airplane4-bear3.png,
sup_RN50_gauss_1_for_60_epoch5,1,32,NaN,bicycle,airplane,0,airplane4-bicycle2.png,
sup_RN50_gauss_1_for_60_epoch5,1,33,NaN,knife,airplane,0,airplane4-bird3.png,
sup_RN50_gauss_1_for_60_epoch5,1,34,NaN,bottle,airplane,0,airplane4-boat3.png,
sup_RN50_gauss_1_for_60_epoch5,1,35,NaN,bottle,airplane,0,airplane4-bottle1.png,
sup_RN50_gauss_1_for_60_epoch5,1,36,NaN,bottle,airplane,0,airplane4-car1.png,
sup_RN50_gauss_1_for_60_epoch5,1,37,NaN,cat,airplane,0,airplane4-cat3.png,
sup_RN50_gauss_1_for_60_epoch5,1,38,NaN,cat,airplane,0,airplane4-dog2.png,
sup_RN50_gauss_1_for_60_epoch5,1,39,NaN,elephant,airplane,0,airplane4-elephant1.png,
sup_RN50_gauss_1_for_60_epoch5,1,40,NaN,knife,airplane,0,airplane4-keyboard3.png,
sup_RN50_gauss_1_for_60_epoch5,1,41,NaN,bottle,airplane,0,airplane4-knife1.png,
sup_RN50_gauss_1_for_60_epoch5,1,42,NaN,truck,airplane,0,airplane4-truck2.png,
sup_RN50_gauss_1_for_60_epoch5,1,43,NaN,elephant,airplane,0,airplane5-bear2.png,
sup_RN50_gauss_1_for_60_epoch5,1,44,NaN,bicycle,airplane,0,airplane5-bicycle1.png,
sup_RN50_gauss_1_for_60_epoch5,1,45,NaN,boat,airplane,0,airplane5-bird2.png,
sup_RN50_gauss_1_for_60_epoch5,1,46,NaN,truck,airplane,0,airplane5-boat3.png,
sup_RN50_gauss_1_for_60_epoch5,1,47,NaN,bottle,airplane,0,airplane5-bottle3.png,
sup_RN50_gauss_1_for_60_epoch5,1,48,NaN,bottle,airplane,0,airplane5-chair3.png,
sup_RN50_gauss_1_for_60_epoch5,1,49,NaN,dog,airplane,0,airplane5-dog3.png,
sup_RN50_gauss_1_for_60_epoch5,1,50,NaN,bottle,airplane,0,airplane5-knife1.png,
sup_RN50_gauss_1_for_60_epoch5,1,51,NaN,truck,airplane,0,airplane5-oven3.png,
sup_RN50_gauss_1_for_60_epoch5,1,52,NaN,elephant,airplane,0,airplane6-bear3.png,
sup_RN50_gauss_1_for_60_epoch5,1,53,NaN,bottle,airplane,0,airplane6-bottle2.png,
sup_RN50_gauss_1_for_60_epoch5,1,54,NaN,airplane,airplane,0,airplane6-chair3.png,
sup_RN50_gauss_1_for_60_epoch5,1,55,NaN,knife,airplane,0,airplane6-keyboard3.png,
sup_RN50_gauss_1_for_60_epoch5,1,56,NaN,bottle,airplane,0,airplane6-knife1.png,
sup_RN50_gauss_1_for_60_epoch5,1,57,NaN,airplane,airplane,0,airplane7-airplane3.png,
sup_RN50_gauss_1_for_60_epoch5,1,58,NaN,bottle,airplane,0,airplane7-bird3.png,
